OBJECTID,StaType,StnType,ZipCode,State,City,Address,StationName,lon,lat,Code
1,Station Building (with waiting room),BUS,48801,MI,Alma,1105 Willow Run Drive,"Alma, MI",-84.644832,43.39172,AAM
2,Curbside Bus Stop only (no shelter),BUS,12211,NY,Albany,737 Albany Shaker Road,"Albany, NY",-73.809184,42.744491,ABA
3,Curbside Bus Stop only (no shelter),BUS,54421,WI,Colby,1210 North Division St.,"Abbotsford-Colby, WI",-90.314667,44.928553,ABB
8,Station Building (with waiting room),BUS,8401,NJ,Atlantic City,1901 Atlantic Avenue,"Atlantic City, NJ",-74.434793,39.359556,ACB
12,Curbside Bus Stop only (no shelter),BUS,4330,ME,Augusta,9 Industrial Drive,"Augusta, ME",-69.799133,44.355913,AGM
13,Curbside Bus Stop only (no shelter),BUS,97520,OR,Ashland,499 Stadium Street,"Ashland, OR",-122.689591,42.185744,AHL
15,Curbside Bus Stop only (no shelter),BUS,49706,MI,Alanson,7640 Burr Avenue,"Alanson, MI",-84.790596,45.440201,ALA
20,Curbside Bus Stop only (no shelter),BUS,49707,MI,Alpena,1180 Michigan Highway 32 West,"Alpena, MI",-83.476459,45.062202,ALM
28,Curbside Bus Stop only (no shelter),BUS,81210,CO,Almont,10366-10486 CO-135,"Almont, CO",-106.845967,38.665671,ANT
29,Station Building (with waiting room),BUS,54911,WI,Appleton,100 East Washington Street,"Appleton, WI",-88.405852,44.263311,APP
31,Curbside Bus Stop only (no shelter),BUS,95521,CA,Arcata,925 E Street,"Arcata, CA",-124.083805,40.868633,ARC
35,Curbside Bus Stop only (no shelter),BUS,97103,OR,Astoria,900 Marine Drive,"Astoria, OR",-123.83329,46.19021,ART
38,Curbside Bus Stop only (no shelter),BUS,93422,CA,Atascadero,6000 Capistrano Avenue,"Atascadero, CA",-120.66476,35.488953,ATA
42,Station Building (with waiting room),BUS,4210,ME,Auburn,1707 S. Washington Street,"Auburn, ME",-70.266407,44.037697,AUR
